1776;0;0
Elapsed time;Relative error;best fitness;optimal
0.615456;19.8198;2128;1776
0.617048;19.8198;2128;1776
0.618511;19.8198;2128;1776
0.619982;19.8198;2128;1776
0.621389;19.8198;2128;1776
0.622832;19.8198;2126;1776
0.624349;19.7072;2126;1776
0.625699;19.7072;2126;1776
0.627232;19.7072;2126;1776
0.628657;19.7072;2126;1776
0.630072;19.7072;2126;1776
0.631462;19.7072;2126;1776
0.632962;19.7072;2126;1776
0.634459;19.7072;2126;1776
0.63597;19.7072;2126;1776
0.637549;19.7072;2126;1776
0.639055;19.7072;2126;1776
0.640567;19.7072;2126;1776
0.642024;19.7072;2126;1776
0.64347;19.7072;2126;1776
0.644978;19.7072;2126;1776
0.646503;19.7072;2126;1776
0.648021;19.7072;2126;1776
0.649486;19.7072;2126;1776
0.65088;19.7072;2126;1776
0.652362;19.7072;2126;1776
0.653842;19.7072;2126;1776
0.655225;19.7072;2126;1776
0.656728;19.7072;2126;1776
0.658321;19.7072;2126;1776
0.659737;19.7072;2126;1776
0.661287;19.7072;2126;1776
0.662827;19.7072;2126;1776
0.664386;19.7072;2126;1776
0.665902;19.7072;2126;1776
0.667269;19.7072;2126;1776
0.668881;19.7072;2126;1776
0.670454;19.7072;2126;1776
0.671845;19.7072;2126;1776
0.673225;19.7072;2126;1776
0.674862;19.7072;2126;1776
0.676292;19.7072;2126;1776
0.67794;19.7072;2126;1776
0.679399;19.7072;2126;1776
0.680943;19.7072;2126;1776
0.682435;19.7072;2126;1776
0.683779;19.7072;2126;1776
0.685158;19.7072;2126;1776
0.686584;19.7072;2126;1776
0.688028;19.7072;2126;1776
0.689438;19.7072;2126;1776
0.690952;19.7072;2126;1776
0.692361;19.7072;2126;1776
0.693836;19.7072;2126;1776
0.695398;19.7072;2126;1776
0.696844;19.7072;2126;1776
0.698174;19.7072;2126;1776
0.699531;19.7072;2126;1776
0.700979;19.7072;2126;1776
0.7025;19.7072;2126;1776
0.703994;19.7072;2126;1776
0.705351;19.7072;2126;1776
0.706716;19.7072;2126;1776
0.708212;19.7072;2126;1776
0.709688;19.7072;2126;1776
0.711206;19.7072;2126;1776
0.712709;19.7072;2126;1776
0.714128;19.7072;2126;1776
0.715604;19.7072;2126;1776
0.716979;19.7072;2126;1776
0.718296;19.7072;2126;1776
0.719738;19.7072;2126;1776
0.72122;19.7072;2126;1776
0.72271;19.7072;2126;1776
0.724392;19.7072;2126;1776
0.725867;19.7072;2126;1776
0.727344;19.7072;2126;1776
0.728832;19.7072;2126;1776
0.730179;19.7072;2126;1776
0.73162;19.7072;2126;1776
0.732985;19.7072;2126;1776
0.734414;19.7072;2126;1776
0.735959;19.7072;2126;1776
0.737498;19.7072;2126;1776
0.738915;19.7072;2126;1776
0.740336;19.7072;2126;1776
0.74208;19.7072;2126;1776
0.744117;19.7072;2126;1776
0.74546;19.7072;2126;1776
0.747008;19.7072;2126;1776
0.748557;19.7072;2126;1776
0.75;19.7072;2126;1776
0.751451;19.7072;2126;1776
0.752938;19.7072;2126;1776
0.754754;19.7072;2126;1776
0.756477;19.7072;2126;1776
0.758066;19.7072;2126;1776
0.759678;19.7072;2126;1776
0.761316;19.7072;2126;1776
0.762908;19.7072;2126;1776
0.764533;19.7072;2126;1776
0.766004;19.7072;2126;1776
0.767578;19.7072;2126;1776
0.769126;19.7072;2126;1776
0.770755;19.7072;2126;1776
0.772328;19.7072;2126;1776
0.773822;19.7072;2126;1776
0.775336;19.7072;2126;1776
0.777473;19.7072;2126;1776
0.779217;19.7072;2126;1776
0.78085;19.7072;2126;1776
0.782564;19.7072;2126;1776
0.784164;19.7072;2126;1776
0.785985;19.7072;2126;1776
0.788;19.7072;2126;1776
0.789649;19.7072;2126;1776
0.791345;19.7072;2126;1776
0.793084;19.7072;2126;1776
0.794719;19.7072;2126;1776
0.796445;19.7072;2126;1776
0.798183;19.7072;2126;1776
0.79992;19.7072;2126;1776
0.80204;19.7072;2126;1776
0.803726;19.7072;2126;1776
